"Plot Title: 2021_3_21_b"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 10834020, SEN S/N: 10834020, LBL: <C6>)","Intensity, lum/ft² (LGR S/N: 10834020, SEN S/N: 10834020)","Coupler Detached (LGR S/N: 10834020)","Coupler Attached (LGR S/N: 10834020)","Host Connected (LGR S/N: 10834020)","Stopped (LGR S/N: 10834020)","End Of File (LGR S/N: 10834020)"
381,03/21/22 02:23:22 PM,84.654,0.0,,,,,
382,03/21/22 02:23:52 PM,84.654,1.0,,,,,
383,03/21/22 02:24:22 PM,84.654,0.0,,,,,
384,03/21/22 02:24:52 PM,84.654,0.0,,,,,
385,03/21/22 02:25:22 PM,84.654,0.0,,,,,
386,03/21/22 02:25:52 PM,84.654,0.0,,,,,
387,03/21/22 02:26:22 PM,84.654,0.0,,,,,
388,03/21/22 02:26:52 PM,84.654,0.0,,,,,
389,03/21/22 02:27:22 PM,84.654,0.0,,,,,
390,03/21/22 02:27:52 PM,84.654,0.0,,,,,
391,03/21/22 02:28:22 PM,84.474,0.0,,,,,
392,03/21/22 02:28:52 PM,84.654,0.0,,,,,
393,03/21/22 02:29:22 PM,84.654,0.0,,,,,
394,03/21/22 02:29:52 PM,84.654,432.0,,,,,
395,03/21/22 02:30:22 PM,85.014,288.0,,,,,
396,03/21/22 02:30:52 PM,85.014,288.0,,,,,
397,03/21/22 02:31:22 PM,85.194,272.0,,,,,
398,03/21/22 02:31:52 PM,85.014,256.0,,,,,
399,03/21/22 02:32:22 PM,84.834,480.0,,,,,
400,03/21/22 02:32:52 PM,84.834,608.0,,,,,
401,03/21/22 02:33:22 PM,85.014,184.0,,,,,
402,03/21/22 02:33:52 PM,85.014,672.0,,,,,
403,03/21/22 02:34:22 PM,85.014,416.0,,,,,
404,03/21/22 02:34:52 PM,85.194,896.0,,,,,
405,03/21/22 02:35:22 PM,85.554,704.0,,,,,
406,03/21/22 02:35:52 PM,85.374,448.0,,,,,
407,03/21/22 02:36:22 PM,85.374,496.0,,,,,
408,03/21/22 02:36:52 PM,85.374,960.0,,,,,
